Time,Prophet 30d default,Prophet 30d default no_ex,Prophet 60d default no_ex,Prophet 120d default no_ex,Prophet 240d default no_ex,Prophet 240d default,Prophet 60d default,Prophet 120d default
2019-07-26 05:00:00,1100715.6963814583,1094689.4358678414,1088115.550249433,1069143.237136514,1085348.399924974,1107198.079653965,1106803.1860858148,1093837.88766884
2019-07-26 06:00:00,1124247.1926001625,1127699.6760041006,1119764.7777136303,1096562.9238044352,1112249.5969838235,1132198.6900975916,1132759.8376445342,1115682.8079814238
2019-07-26 07:00:00,1195265.4704542954,1196960.894481982,1188770.9881918796,1162235.8370205248,1171974.1486999148,1191347.941597581,1201004.6968911258,1178334.303349485
2019-07-26 08:00:00,1291494.586472927,1290169.6931551974,1282758.8263888638,1254974.6783360995,1254745.3042075008,1270887.0208940099,1292948.9129647305,1265850.1697637194
2019-07-26 09:00:00,1381004.8714155185,1378799.3222365552,1372541.9042559178,1345721.7239131294,1335802.5283364607,1346641.872919603,1379784.8374648986,1350425.3293052765
2019-07-26 10:00:00,1435025.7650428892,1435464.374147409,1430245.8177627511,1405765.473639438,1390543.4345785505,1394549.1460349679,1434116.0573750653,1404124.9960809057
2019-07-26 11:00:00,1456609.3020645147,1451738.2990080584,1447619.7102278504,1425937.9966665811,1410590.7798542543,1412026.8613953905,1453814.5115905958,1424436.7221080433
2019-07-26 12:00:00,1446142.42912489,1441555.6790436269,1439126.8216187726,1420448.8805464958,1407350.639657324,1405358.1067604802,1443060.5131694498,1416084.2531546084
2019-07-26 13:00:00,1434381.1198185093,1427583.3428547038,1427515.5935611275,1412294.4079173864,1400325.9641438131,1397392.8395524635,1429756.245032693,1406835.6966534585
2019-07-26 14:00:00,1419414.280724419,1422650.320555643,1424831.9019153598,1413411.8473617728,1400666.2101568845,1394027.1815200802,1419312.384873974,1401735.2154802089
2019-07-26 15:00:00,1418865.603830001,1421969.3260179195,1425134.8913640948,1416829.58324658,1404004.1966892176,1397584.0796932965,1420466.2426135936,1405061.1817822438
2019-07-26 16:00:00,1416722.0867074616,1411389.189530924,1413766.044462951,1406415.470222587,1397530.0897051448,1396558.6086861677,1417425.752199588,1402061.126150231
2019-07-26 17:00:00,1389366.0508319181,1382446.101140122,1382969.6751363827,1373720.435136117,1373337.15462865,1376165.5517678114,1390133.8161933823,1374118.9788206897
2019-07-26 18:00:00,1349736.4812491168,1339997.047575825,1339043.9131335283,1325964.8807849167,1335402.4853981205,1344498.2919709776,1352346.4469950416,1334727.6744617936
2019-07-26 19:00:00,1305255.6522601852,1296638.2193733735,1295605.3804835128,1278870.39625654,1294858.2495414845,1307884.7393270836,1309968.4619544551,1291736.9698512533
2019-07-26 20:00:00,1287188.4320000221,1261007.218423274,1261098.6628064942,1242725.0230041298,1259683.2407886898,1285411.103378209,1291965.4206434565,1274538.0839427833
2019-07-26 21:00:00,1250108.7715738397,1231867.795333593,1233156.8294316228,1215491.6178545249,1229366.355377308,1255303.1991467457,1261348.1429638579,1246608.2598534955
